Number,Description,L,a,b
3713,Salmon Very Light,235,138,132
761,Salmon Light,219,147,135
760,Salmon,198,154,139
3712,Salmon Medium,173,168,146
3328,Salmon Dark,154,174,150
347,Salmon Very Dark,110,185,164
353,Peach,227,140,138
352,Coral Light,189,163,146
351,Coral,154,177,154
350,Coral Medium,135,187,162
349,Coral Dark,114,197,163
817,Coral Red Very Dark,100,191,168
3708,Melon Light,220,148,130
3706,Melon Medium,201,160,133
3705,Melon Dark,172,181,139
3801,Melon Very Dark,140,190,146
666,Bright Red,125,200,161
321,Red,114,189,158
304,Red Medium,102,187,157
498,Red Dark,91,185,156
816,Garnet,81,181,155
815,Garnet Medium,71,177,152
814,Garnet Dark,63,176,151
894,Carnation Very Light,204,157,135
893,Carnation Light,183,171,137
892,Carnation Medium,171,181,142
891,Carnation Dark,156,193,148
818,Baby Pink,233,138,135
957,Geranium Pale,205,154,138
956,Geranium,184,169,146
309,Rose Dark,83,133,130
963,Dusty Rose Ult Vy Lt,228,142,133
3716,Dusty Rose Med Vy Lt,211,152,137
962,Dusty Rose Medium,171,163,143
961,Dusty Rose Dark,150,164,144
3833,Raspberry Light,171,168,135
3832,Raspberry Medium,140,182,142
3831,Raspberry Dark,106,182,145
777,Raspberry Very Dark,92,168,138
819,Baby Pink Light,243,133,131
3326,Rose Light,200,157,136
776,Pink Medium,202,157,135
899,Rose Medium,165,177,141
335,Rose,147,189,146
326,Rose Very Dark,110,178,146
151,Dusty Rose Vry Lt,219,141,129
3354,Dusty Rose Light,189,152,134
3733,Dusty Rose,171,167,134
3731,Dusty Rose Very Dark,149,176,134
3350,Dusty Rose Ultra Dark,119,179,135
150,Dusty Rose Ult Vy Dk,93,190,137
3689,Mauve Light,211,150,135
3688,Mauve Medium,191,151,135
3687,Mauve,143,166,142
3803,Mauve Dark,104,179,135
3685,Mauve Very Dark,75,176,142
605,Cranberry Very Light,213,153,130
604,Cranberry Light,203,159,133
603,Cranberry,196,165,129
602,Cranberry Medium,138,190,137
601,Cranberry Dark,120,195,133
600,Cranberry Very Dark,120,191,137
3806,Cyclamen Pink Light,183,175,130
3805,Cyclamen Pink,147,198,129
3804,Cyclamen Pink Dark,128,200,131
3609,Plum Ultra Light,201,159,119
3608,Plum Very Light,186,163,119
3607,Plum Light,128,184,118
718,Plum,93,181,121
917,Plum Medium,87,185,124
915,Plum Dark,69,180,127
225,Shell Pink Ult Vy Lt,233,137,137
224,Shell Pink Very Light,201,146,139
152,Shell Pink Med Light,184,152,141
223,Shell Pink Light,159,155,144
3722,Shell Pink Med,139,159,146
3721,Shell Pink Dark,110,164,142
221,Shell Pink Vy Dk,92,160,140
778,Antique Mauve Vy Lt,196,145,130
3727,Antique Mauve Light,189,148,130
316,Antique Mauve Med,143,156,133
3726,Antique Mauve Dark,118,156,133
315,Antique Mauve Md Dk,97,153,133
3802,Antique Mauve Vy Dk,86,150,132
902,Garnet Very Dark,78,168,140
3743,Antique Violet Vy Lt,211,134,126
3042,Antique Violet Light,172,139,126
3041,Antique Violet Medium,130,145,127
3740,Antique Violet Dark,104,143,127
3836,Grape Light,165,148,121
3835,Grape Medium,121,155,117
3834,Grape Dark,82,159,117
154,Grape Very Dark,56,153,130
211,Lavender Light,215,141,119
210,Lavender Medium,178,147,115
209,Lavender Dark,145,151,111
208,Lavender Very Dark,114,153,108
3837,Lavender Ultra Dark,83,159,107
